role,name,email,city,lat,lng,status
hospital,Max Super Speciality Hospital Noida,support@maxsuperspecialityhospitalno.org,Noida,28.558147,77.472893,approved
hospital,Navneet Multi Speciality Hospital Faridabad,info@navneetmultispecialityhospit.in,Faridabad,28.432273,77.370258,approved
hospital,Prakash Multi Speciality Hospital,reception@prakashmultispecialityhospit.com,Noida,28.591098,77.30465,approved
hospital,Ram Manohar Clinic & Hospital Gurugram,support@rammanoharclinicandhospitalg.org,Gurugram,28.542212,77.011948,approved
hospital,Goyal Nursing Home Gurugram,admin@goyalnursinghomegurugram.in,Gurugram,28.361297,76.963757,approved
hospital,Niraamaya Hospital Faridabad,reception@niraamayahospitalfaridabad.net,Faridabad,28.306432,77.38009,pending
hospital,Nayati Super Speciality Hospital,contact@nayatisuperspecialityhospita.com,Gurugram,28.521513,77.018932,approved
hospital,Fortis Medical Centre,support@fortismedicalcentre.in,Sonipat,28.99845,77.121826,approved
hospital,Lal Bahadur Healthcare,info@lalbahadurhealthcare.net,New Delhi,28.552465,77.095485,approved
hospital,Bindal Clinic & Hospital Noida,contact@bindalclinicandhospitalnoida.org,Noida,28.619941,77.331357,approved
hospital,Subham Healthcare,care@subhamhealthcare.org,Noida,28.60706,77.448843,approved
hospital,Navneet Hospital Ghaziabad,info@navneethospitalghaziabad.com,Ghaziabad,28.776711,77.304401,approved
hospital,Jai Prakash Medical Institute New Delhi,help@jaiprakashmedicalinstitutene.org,New Delhi,28.674131,77.117209,approved
hospital,Narayana Superspeciality Hospital Gurugram,help@narayanasuperspecialityhospi.com,Gurugram,28.549612,77.060972,approved
hospital,Venkateshwar Hospital,support@venkateshwarhospital.net,New Delhi,28.648308,77.187608,approved
hospital,National Hospital Bahadurgarh,support@nationalhospitalbahadurgarh.org,Bahadurgarh,28.68026,76.947721,pending
hospital,District Health Institute,care@districthealthinstitute.org,Sonipat,29.054542,77.001551,pending
hospital,Yashoda Hospital Ghaziabad,info@yashodahospitalghaziabad.net,Ghaziabad,28.619792,77.543794,approved
hospital,Prime Healthcare Noida,support@primehealthcarenoida.net,Noida,28.612723,77.495078,approved
hospital,National Healthcare,support@nationalhealthcare.net,Noida,28.575892,77.310367,approved
hospital,Mahajan Nursing Home,admin@mahajannursinghome.com,Ghaziabad,28.771558,77.501109,approved
hospital,Yashoda Nursing Home,contact@yashodanursinghome.net,Gurugram,28.35433,77.058528,approved
hospital,District Healthcare,info@districthealthcare.net,Greater Noida,28.5221,77.52182,approved
hospital,Indraprastha Hospital New Delhi,support@indraprasthahospitalnewdelhi.com,New Delhi,28.641723,77.209921,approved
hospital,Deen Dayal Healthcare Ghaziabad,help@deendayalhealthcareghaziabad.in,Ghaziabad,28.631876,77.412113,pending
hospital,Shiv Multi Speciality Hospital Faridabad,reception@shivmultispecialityhospitalf.in,Faridabad,28.441896,77.24122,approved
hospital,Asian Medical Centre New Delhi,admin@asianmedicalcentrenewdelhi.in,New Delhi,28.662929,77.26451,approved
hospital,City Hospital Greater Noida,help@cityhospitalgreaternoida.net,Greater Noida,28.487376,77.554273,approved
hospital,Shree Healthcare New Delhi,reception@shreehealthcarenewdelhi.net,New Delhi,28.556015,77.262718,approved
hospital,Care Healthcare New Delhi,admin@carehealthcarenewdelhi.net,New Delhi,28.730447,77.118602,approved
hospital,QRG Nursing Home,reception@qrgnursinghome.net,Ghaziabad,28.686438,77.545725,approved
hospital,Holy Family Hospital,contact@holyfamilyhospital.net,New Delhi,28.660401,77.13573,approved
hospital,QRG Eye & General Hospital,support@qrgeyeandgeneralhospital.com,Ghaziabad,28.759452,77.405748,approved
hospital,Subham Eye & General Hospital,info@subhameyeandgeneralhospital.com,Noida,28.648842,77.348814,approved
hospital,Max Health Institute,care@maxhealthinstitute.com,New Delhi,28.689709,77.299137,approved
hospital,Ram Manohar Hospital,contact@rammanoharhospital.in,Noida,28.599642,77.481495,pending
hospital,Pushpanjali Speciality Hospital Ghaziabad,info@pushpanjalispecialityhospita.org,Ghaziabad,28.671638,77.503953,approved
hospital,Sarvodaya Hospital Faridabad,reception@sarvodayahospitalfaridabad.net,Faridabad,28.485631,77.239758,approved
hospital,Rockland Nursing Home,care@rocklandnursinghome.com,Noida,28.547594,77.360258,approved
hospital,Metro Healthcare,reception@metrohealthcare.net,Sonipat,28.988573,77.075026,pending
hospital,Apollo General Hospital,care@apollogeneralhospital.in,Noida,28.617874,77.464884,pending
hospital,Balaji Clinic & Hospital,admin@balajiclinicandhospital.org,Noida,28.607509,77.452274,approved
hospital,Prakash Hospital Ghaziabad,help@prakashhospitalghaziabad.net,Ghaziabad,28.711657,77.528236,approved
hospital,Primus Super Speciality Hospital,info@primussuperspecialityhospita.in,New Delhi,28.586135,77.092523,approved
hospital,Balaji Multi Speciality Hospital New Delhi,care@balajimultispecialityhospita.net,New Delhi,28.594679,77.250761,approved
hospital,Suresh Medical Centre New Delhi,contact@sureshmedicalcentrenewdelhi.org,New Delhi,28.634264,77.235286,approved
hospital,Fortis Hospital Noida,care@fortishospitalnoida.net,Noida,28.602472,77.450327,approved
hospital,BLK-Max Medical College Hospital,contact@blkmaxmedicalcollegehospital.net,Greater Noida,28.402141,77.532472,approved
hospital,Asian Clinic & Hospital,contact@asianclinicandhospital.in,Ghaziabad,28.695211,77.494739,pending
hospital,Samarth Hospital Ghaziabad,contact@samarthhospitalghaziabad.in,Ghaziabad,28.642743,77.310119,approved
hospital,Santosh Medical Institute Noida,admin@santoshmedicalinstitutenoida.net,Noida,28.584987,77.300086,approved
hospital,Accord Healthcare,support@accordhealthcare.com,New Delhi,28.615734,77.165494,approved
hospital,Divine Medical College Hospital,admin@divinemedicalcollegehospital.org,Greater Noida,28.560501,77.602834,approved
hospital,Jeevan Hospital New Delhi,admin@jeevanhospitalnewdelhi.net,New Delhi,28.674358,77.065776,approved
hospital,City Nursing Home Gurugram,contact@citynursinghomegurugram.in,Gurugram,28.413621,77.009023,approved
hospital,Care General Hospital,admin@caregeneralhospital.com,Greater Noida,28.463349,77.547416,approved
hospital,Dharam Super Speciality Hospital,info@dharamsuperspecialityhospita.in,Sonipat,29.076381,77.022925,approved
hospital,Kalawati Hospital Faridabad,contact@kalawatihospitalfaridabad.com,Faridabad,28.397584,77.307505,approved
hospital,Sarvodaya Clinic & Hospital,info@sarvodayaclinicandhospital.net,New Delhi,28.721042,77.171784,approved
hospital,Saraswati Speciality Hospital,admin@saraswatispecialityhospital.org,New Delhi,28.669194,77.070565,approved
hospital,QRG Hospital Bahadurgarh,info@qrghospitalbahadurgarh.org,Bahadurgarh,28.705175,76.988378,approved
hospital,Balaji Super Speciality Hospital,help@balajisuperspecialityhospita.in,Faridabad,28.465006,77.364655,approved
hospital,Fortis Escorts Heart Institute,admin@fortisescortsheartinstitute.net,New Delhi,28.603141,77.25853,approved
hospital,Divine Health Institute,admin@divinehealthinstitute.com,Noida,28.583513,77.401666,approved
hospital,Central Medical Centre,care@centralmedicalcentre.net,Noida,28.626686,77.349276,approved
hospital,Indraprastha Multi Speciality Hospital,support@indraprasthamultispecialityh.in,New Delhi,28.676432,77.254627,approved
hospital,Ram Manohar Hospital Ghaziabad,care@rammanoharhospitalghaziabad.org,Ghaziabad,28.736341,77.361374,approved
hospital,Samvedna Hospital Faridabad,care@samvednahospitalfaridabad.in,Faridabad,28.338651,77.228206,approved
hospital,National Nursing Home Noida,support@nationalnursinghomenoida.org,Noida,28.5895,77.458968,pending
hospital,Sarvodaya Medical Centre Gurugram,reception@sarvodayamedicalcentregurugr.org,Gurugram,28.539733,76.955016,approved
hospital,Lal Bahadur Shastri Hospital,support@lalbahadurshastrihospital.net,New Delhi,28.740566,77.27486,approved
hospital,Divine Nursing Home,contact@divinenursinghome.com,Bahadurgarh,28.681037,76.992005,approved
hospital,Accord Medical Institute New Delhi,reception@accordmedicalinstitutenewdel.org,New Delhi,28.60224,77.261147,approved
hospital,Subham Medical Centre,admin@subhammedicalcentre.net,Greater Noida,28.598,77.462842,approved
hospital,Central Health Institute Ghaziabad,care@centralhealthinstituteghazia.org,Ghaziabad,28.641134,77.5364,approved
hospital,Saraswati Clinic & Hospital New Delhi,help@saraswaticlinicandhospitalne.com,New Delhi,28.638268,77.052166,approved
hospital,Max Multi Speciality Hospital Faridabad,help@maxmultispecialityhospitalfa.org,Faridabad,28.462164,77.26953,approved
hospital,Shree Medical Centre,admin@shreemedicalcentre.com,Greater Noida,28.431377,77.519259,approved
hospital,City Clinic & Hospital,reception@cityclinicandhospital.net,Gurugram,28.389675,77.01736,approved
hospital,Suresh Super Speciality Hospital Ghaziabad,support@sureshsuperspecialityhospita.com,Ghaziabad,28.65699,77.345045,approved
hospital,Lifecare General Hospital,reception@lifecaregeneralhospital.org,Gurugram,28.3569,77.023923,pending
hospital,Divine General Hospital Gurugram,support@divinegeneralhospitalgurugra.net,Gurugram,28.377453,77.147353,approved
hospital,Ram Manohar Multi Speciality Hospital Ghaziabad,info@rammanoharmultispecialityhos.net,Ghaziabad,28.649967,77.385925,approved
hospital,RML Hospital,support@rmlhospital.org,New Delhi,28.749512,77.234672,approved
hospital,Ram Manohar Super Speciality Hospital,contact@rammanoharsuperspecialityhos.org,Ghaziabad,28.703376,77.487137,approved
hospital,Santosh Healthcare Sonipat,support@santoshhealthcaresonipat.net,Sonipat,29.019491,77.136129,approved
hospital,Bindal General Hospital Gurugram,support@bindalgeneralhospitalgurugra.net,Gurugram,28.485835,76.972046,approved
hospital,Kalyani Eye & General Hospital,reception@kalyanieyeandgeneralhospital.net,Noida,28.526366,77.409361,approved
hospital,Accord Hospital Ghaziabad,admin@accordhospitalghaziabad.net,Ghaziabad,28.738172,77.481954,approved
hospital,Care General Hospital Noida,support@caregeneralhospitalnoida.net,Noida,28.525817,77.429062,approved
hospital,Medanta Super Speciality Hospital,support@medantasuperspecialityhospit.in,New Delhi,28.691761,77.203042,approved
hospital,Mahajan General Hospital,info@mahajangeneralhospital.com,Faridabad,28.448698,77.348398,approved
hospital,Lal Bahadur Clinic & Hospital,help@lalbahadurclinicandhospital.com,Noida,28.646251,77.462622,approved
hospital,Ram Manohar Medical Institute Noida,help@rammanoharmedicalinstituteno.org,Noida,28.506936,77.487401,approved
hospital,General Hospital Sonipat,help@generalhospitalsonipat.org,Sonipat,28.971394,77.060274,approved
hospital,Columbia Asia Hospital Noida,care@columbiaasiahospitalnoida.org,Noida,28.570632,77.402601,approved
hospital,Columbia Asia Multi Speciality Hospital Gurugram,info@columbiaasiamultispecialityh.net,Gurugram,28.364096,77.000414,approved
hospital,Jai Prakash Multi Speciality Hospital Gurugram,info@jaiprakashmultispecialityhos.net,Gurugram,28.402607,77.024697,approved
hospital,Yatharth Hospital Greater Noida,help@yatharthhospitalgreaternoida.org,Greater Noida,28.462523,77.477933,approved
hospital,Deen Dayal Medical College Hospital,info@deendayalmedicalcollegehospi.com,Gurugram,28.364136,76.997328,approved
hospital,Columbia Asia Multi Speciality Hospital,help@columbiaasiamultispecialityh.org,New Delhi,28.643204,77.071785,approved
hospital,Asian Hospital Ghaziabad,care@asianhospitalghaziabad.org,Ghaziabad,28.741445,77.411033,approved
hospital,Sir Ganga Ram Hospital,admin@sirgangaramhospital.net,New Delhi,28.578984,77.23783,pending
hospital,Medanta Medical Institute New Delhi,contact@medantamedicalinstitutenewde.net,New Delhi,28.590891,77.233554,approved
hospital,Care Medical Centre Sonipat,support@caremedicalcentresonipat.org,Sonipat,29.003884,77.130338,approved
hospital,Regional Healthcare,support@regionalhealthcare.in,New Delhi,28.732079,77.197385,approved
hospital,Shree Health Institute Ghaziabad,reception@shreehealthinstituteghaziaba.in,Ghaziabad,28.705727,77.458989,approved
hospital,Primus Nursing Home,reception@primusnursinghome.org,Noida,28.50286,77.34355,pending
hospital,Dharam Nursing Home,help@dharamnursinghome.in,Faridabad,28.454604,77.21631,approved
hospital,National Medical Centre New Delhi,reception@nationalmedicalcentrenewdelh.org,New Delhi,28.602837,77.098158,approved
hospital,Balaji Nursing Home Noida,support@balajinursinghomenoida.in,Noida,28.562676,77.478361,approved
hospital,Holy Family Multi Speciality Hospital,care@holyfamilymultispecialityhos.in,Faridabad,28.417071,77.3947,approved
hospital,Accord Speciality Hospital,care@accordspecialityhospital.in,New Delhi,28.737803,77.072406,approved
hospital,Mayom Medical Institute,info@mayommedicalinstitute.com,Greater Noida,28.595313,77.490219,approved
hospital,Jaypee Health Institute Noida,info@jaypeehealthinstitutenoida.org,Noida,28.524892,77.322195,approved
hospital,Kalyani Clinic & Hospital,reception@kalyaniclinicandhospital.net,New Delhi,28.647704,77.116313,approved
hospital,Asian Medical Centre,contact@asianmedicalcentre.net,New Delhi,28.667739,77.083436,approved
hospital,City General Hospital Noida,reception@citygeneralhospitalnoida.net,Noida,28.626902,77.449618,approved
hospital,Kalyani Hospital Faridabad,support@kalyanihospitalfaridabad.net,Faridabad,28.324649,77.376112,approved
hospital,Ganesh Medical Institute Bahadurgarh,contact@ganeshmedicalinstitutebahadu.com,Bahadurgarh,28.703124,77.03004,approved
hospital,Columbia Asia Medical College Hospital Gurugram,admin@columbiaasiamedicalcollegeho.org,Gurugram,28.532361,77.125572,approved
hospital,AIIMS Delhi,info@aiimsdelhi.net,New Delhi,28.677,77.169775,approved
hospital,Ram Manohar Eye & General Hospital Ghaziabad,info@rammanohareyeandgeneralhospi.org,Ghaziabad,28.727186,77.461463,pending
hospital,Santosh Medical College Hospital,info@santoshmedicalcollegehospita.org,Greater Noida,28.415903,77.475651,pending
hospital,Prakash Hospital Noida,admin@prakashhospitalnoida.in,Noida,28.604917,77.405157,approved
hospital,Mother Medical Institute,contact@mothermedicalinstitute.net,Greater Noida,28.435163,77.539524,approved
hospital,Accord Clinic & Hospital,help@accordclinicandhospital.com,Faridabad,28.409178,77.290735,approved
hospital,Samarth Speciality Hospital,help@samarthspecialityhospital.com,New Delhi,28.709304,77.107101,approved
hospital,Regional Medical College Hospital,help@regionalmedicalcollegehospit.net,Noida,28.560328,77.46841,approved
hospital,Accord Medical Institute Noida,reception@accordmedicalinstitutenoida.net,Noida,28.598308,77.371561,approved
hospital,Aakash Healthcare,support@aakashhealthcare.com,New Delhi,28.733557,77.090772,approved
hospital,Fortis Memorial Research Institute,reception@fortismemorialresearchinstit.in,Gurugram,28.532641,76.98467,approved
hospital,Civil Hospital Bahadurgarh,contact@civilhospitalbahadurgarh.com,Bahadurgarh,28.712852,76.918343,approved
hospital,Sanjeevan Healthcare,reception@sanjeevanhealthcare.com,Greater Noida,28.456398,77.571869,approved
hospital,Kalawati Eye & General Hospital New Delhi,care@kalawatieyeandgeneralhospita.net,New Delhi,28.562758,77.250893,approved
hospital,District Multi Speciality Hospital,care@districtmultispecialityhospi.net,Noida,28.602698,77.345557,approved
hospital,Prakash Medical Institute,help@prakashmedicalinstitute.org,New Delhi,28.679381,77.250824,approved
hospital,Jeevan Clinic & Hospital,support@jeevanclinicandhospital.org,New Delhi,28.741328,77.261993,approved
hospital,Manipal Speciality Hospital Greater Noida,contact@manipalspecialityhospitalgre.com,Greater Noida,28.418308,77.447846,approved
hospital,Columbia Asia Health Institute,contact@columbiaasiahealthinstitute.com,New Delhi,28.62826,77.237041,approved
hospital,Bhagat Hospital Sonipat,help@bhagathospitalsonipat.com,Sonipat,29.001728,77.023159,approved
hospital,Lal Bahadur Hospital Noida,reception@lalbahadurhospitalnoida.com,Noida,28.576972,77.482808,approved
hospital,Divine Eye & General Hospital New Delhi,contact@divineeyeandgeneralhospitaln.com,New Delhi,28.703995,77.07965,approved
hospital,Saraswati General Hospital,reception@saraswatigeneralhospital.net,New Delhi,28.679128,77.073351,approved
hospital,Suresh Health Institute,admin@sureshhealthinstitute.org,New Delhi,28.629685,77.214036,approved
hospital,Artemis Speciality Hospital Faridabad,info@artemisspecialityhospitalfar.in,Faridabad,28.359189,77.217393,approved
hospital,Jaypee Healthcare Faridabad,help@jaypeehealthcarefaridabad.org,Faridabad,28.446013,77.369117,approved
hospital,Accord Superspeciality Hospital,support@accordsuperspecialityhospita.com,Gurugram,28.425375,77.028722,approved
hospital,QRG Nursing Home Faridabad,reception@qrgnursinghomefaridabad.org,Faridabad,28.465709,77.322957,approved
hospital,Sarvodaya Medical College Hospital,admin@sarvodayamedicalcollegehospi.com,Ghaziabad,28.652691,77.406126,approved
hospital,Asian Nursing Home,support@asiannursinghome.net,Greater Noida,28.497089,77.631054,approved
hospital,Apollo Medical College Hospital,care@apollomedicalcollegehospital.net,Noida,28.524878,77.350156,approved
hospital,BLK-Max Hospital,support@blkmaxhospital.in,New Delhi,28.580963,77.254377,approved
hospital,Jeevan Super Speciality Hospital Greater Noida,admin@jeevansuperspecialityhospita.org,Greater Noida,28.593238,77.600147,approved
hospital,Nayati Multi Speciality Hospital Noida,care@nayatimultispecialityhospita.org,Noida,28.542894,77.3798,approved
