role,name,email,city,lat,lng,status
ngo,Sanjeevani Organization,contact@sanjeevaniorganization.org,Noida,28.510865,77.407176,approved
ngo,Punya Blood NGO,contact@punyabloodngo.org,New Delhi,28.567189,77.154543,approved
ngo,Humanity First Project,reach@humanityfirstproject.org,Ghaziabad,28.62476,77.35581,approved
ngo,Prasad Blood Alliance,bloodbank@prasadbloodalliance.org,Sonipat,28.957438,77.033162,approved
ngo,Swasthya Seva Society,donate@swasthyasevasociety.org,New Delhi,28.573558,77.12712,approved
ngo,Nirmal Seva Alliance,support@nirmalsevaalliance.org,New Delhi,28.62448,77.186936,approved
ngo,Seva Blood Initiative,donate@sevabloodinitiative.org,New Delhi,28.635518,77.128537,approved
ngo,Raksha Setu NGO,help@rakshasetungo.org,Greater Noida,28.539799,77.461024,approved
ngo,Sahara Blood Institute,seva@saharabloodinstitute.org,Greater Noida,28.457588,77.645044,approved
ngo,Umeed Blood Association,help@umeedbloodassociation.org,Noida,28.639991,77.38434,pending
ngo,Samarpan Trust Alliance,care@samarpantrustalliance.org,New Delhi,28.618024,77.137545,approved
ngo,Helping Hands Project,info@helpinghandsproject.org,Gurugram,28.538936,77.04482,approved
ngo,Navjeevan Trust Network,reach@navjeevantrustnetwork.org,New Delhi,28.748619,77.255481,approved
ngo,Kripa Blood Association,contact@kripabloodassociation.org,Noida,28.641097,77.371093,approved
ngo,Seva Blood Movement,admin@sevabloodmovement.org,Greater Noida,28.425868,77.461904,approved
ngo,Jeevan Raksha Society,seva@jeevanrakshasociety.org,Faridabad,28.380329,77.255568,approved
ngo,Samarpan Trust Network,bloodbank@samarpantrustnetwork.org,Greater Noida,28.597293,77.570681,approved
ngo,Sanjeevani NGO,support@sanjeevaningo.org,New Delhi,28.552413,77.257773,approved
ngo,Vatsalya Blood Association,reach@vatsalyabloodassociati.org,Noida,28.584951,77.49062,approved
ngo,Anand Foundation Centre,contact@anandfoundationcentre.org,Greater Noida,28.491329,77.617745,pending
ngo,Samarpan Trust Organization,bloodbank@samarpantrustorganizat.org,Ghaziabad,28.679796,77.325884,approved
ngo,Helping Hands NGO,seva@helpinghandsngo.org,New Delhi,28.582461,77.135013,approved
ngo,Sanjeevani Mission,info@sanjeevanimission.org,New Delhi,28.73979,77.203434,approved
ngo,Asha Kiran Society,admin@ashakiransociety.org,New Delhi,28.741094,77.20057,approved
ngo,Naya Jeevan Initiative,seva@nayajeevaninitiative.org,New Delhi,28.646767,77.071471,approved
ngo,Amrit Blood Initiative,help@amritbloodinitiative.org,Noida,28.57745,77.341043,pending
ngo,Navjeevan Trust Mission,contact@navjeevantrustmission.org,Noida,28.613721,77.359618,approved
